"CompanyName","Västtrafik AB","Västtrafik"
"CompanyName","Tamro AB","Tamro"
"CompanyName","Bravida Sverige AB","Bravida Sverige"
"CompanyName","E.ON Energilösningar Aktiebolag","E.ON Energilösningar"
"CompanyName","Praktikertjänst Aktiebolag","Praktikertjänst"
"CompanyName","Oriola Sweden AB","Oriola Sweden"
"CompanyName","Nolato Aktiebolag","Nolato"
"CompanyName","Camfil Aktiebolag","Camfil"
"CompanyName","BMW Northern Europe AB","BMW Northern Europe"
"CompanyName","Perstorp Holding AB","Perstorp Holding"
"CompanyName","Storskogen Group AB (publ)","Storskogen Group  (publ)"
"CompanyName","Anticimex New TopHolding AB","Anticimex New TopHolding"
"CompanyName","Valmet Aktiebolag","Valmet"
"CompanyName","Arjo AB (publ)","Arjo  (publ)"
"CompanyName","Systemair Aktiebolag","Systemair"
"CompanyName","BHG Group AB","BHG Group"
"CompanyName","AR Packaging Group AB (publ)","AR Packaging Group  (publ)"
"CompanyName","Dahl Sverige Aktiebolag","Dahl Sverige"
"CompanyName","Höganäs Holding AB","Höganäs Holding"
"CompanyName","Derome Aktiebolag","Derome"
"CompanyName","Fortum Sverige AB","Fortum Sverige"
"CompanyName","E.ON Sverige Aktiebolag","E.ON Sverige"
"CompanyName","Stena Recycling AB","Stena Recycling"
"CompanyName","Aktiebolaget Volvo Penta","Volvo Penta"
"CompanyName","Kronans Apotek AB","Kronans Apotek"
"CompanyName","Stora Enso Skog Aktiebolag","Stora Enso Skog"
"CompanyName","Soric Capital AB","Soric Capital"
"CompanyName","SCA Graphic Sundsvall Aktiebolag","SCA Graphic Sundsvall"
"CompanyName","IKEA of Sweden AB","IKEA of Sweden"
"CompanyName","Microsoft Aktiebolag","Microsoft"
"CompanyName","Stora Enso Paper Aktiebolag","Stora Enso Paper"
"CompanyName","Svevia AB (publ)","Svevia  (publ)"
"CompanyName","Vasakronan AB (publ)","Vasakronan  (publ)"
"CompanyName","Alfa Laval Corporate AB","Alfa Laval Corporate"
"CompanyName","Minmetals North-Europe Aktiebolag","Minmetals North-Europe"
"CompanyName","AAK Sweden AB","AAK Sweden"
"CompanyName","SKF International Aktiebolag","SKF International"
"CompanyName","FAM AB","FAM"
"CompanyName","Lindéngruppen Aktiebolag","Lindéngruppen"
"CompanyName","SCA Skog AB","SCA Skog"
"CompanyName","Balder Lergöksgatan AB","Balder Lergöksgatan"
"CompanyName","Thule Group AB","Thule Group"
"CompanyName","Elcowire Group AB","Elcowire Group"
"CompanyName","DHL Freight (Sweden) AB","DHL Freight (Sweden)"
"CompanyName","Volkswagen Finans Sverige AB","Volkswagen Finans Sverige"
"CompanyName","Humana AB","Humana"
"CompanyName","Linköpings Stadshus AB","Linköpings Stadshus"
"CompanyName","Toyota Material Handling Manufacturing Sweden AB","Toyota Material Handling Manufacturing Sweden"
"CompanyName","Recipharm AB (publ)","Recipharm  (publ)"
"CompanyName","Meda Aktiebolag","Meda"
"CompanyName","Corral Petroleum Sweden AB","Corral Petroleum Sweden"
"CompanyName","Fasetten AB","Fasetten"
"CompanyName","Amasten Köping Stadskanten AB","Amasten Köping Stadskanten"
"CompanyName","Rusta AB","Rusta"
"CompanyName","International Automotive Components Group Sweden  AB","International Automotive Components Group Sweden"
"CompanyName","Thomas Concrete Group Aktiebolag","Thomas Concrete Group"
"CompanyName","Volvo Bussar Aktiebolag","Volvo Bussar"
"CompanyName","Varbergs Sparbank AB (publ)","Varbergs Sparbank  (publ)"
"CompanyName","Tetra Pak Packaging Solutions Aktiebolag","Tetra Pak Packaging Solutions"
"CompanyName","SiriusPoint International Försäkringsaktiebolag   (publ)"
"CompanyName","Tetra Pak Technical Service Aktiebolag","Tetra Pak Technical Service"
"CompanyName","Sörmlands Sparbank"
"CompanyName","Elcowire AB","Elcowire"
"CompanyName","Beijer Byggmaterial Aktiebolag","Beijer Byggmaterial"
"CompanyName","HKScan Sweden AB","HKScan Sweden"
"CompanyName","SKF Sverige Aktiebolag","SKF Sverige"
"CompanyName","Electrolux Professional AB (publ)","Electrolux Professional  (publ)"
"CompanyName","Balder Pushhuset AB","Balder Pushhuset"
"CompanyName","Veidekke Entreprenad AB","Veidekke Entreprenad"
"CompanyName","Ovako Group AB","Ovako Group"
"CompanyName","Workforce Logiq Sweden AB","Workforce Logiq Sweden"
"CompanyName","OK Detaljhandel AB","OK Detaljhandel"
"CompanyName","HI3G Access AB","HI3G Access"
